Name,Nationality,Current_Rank,Previous_Year_Rank,Sport,Year,Earnings,Team_Sport
Valentino Rossi,Italy,9,9,Motorcycle GP,2009,35,Yes
Dale Earnhardt Jr.,United States,10,>10,NASCAR,2009,34,Yes
Tiger Woods,United States,1,1,Golf,2010,105,No
Floyd Mayweather,United States,2,>10,Boxing,2010,65,No
Kobe Bryant,United States,3,2,Basketball,2010,48,Yes
Phil Mickelson,United States,4,6,Golf,2010,46,No
David Beckham,United Kingdom,5,5,Soccer,2010,43.7,Yes
Roger Federer,Switzerland,6,>10,Tennis,2010,43,No
LeBron James,United States,7,6,Basketball,2010,42.8,Yes
Manny Pacquiao,Philippines,8,6,Boxing,2010,42,No
Eli Manning,United States,9,>10,American Football,2010,39.9,Yes
Terrell Suggs,United States,10,>10,American Football,2010,38.3,Yes
Tiger Woods,United States,1,1,Golf,2011,75,No
Kobe Bryant,United States,2,3,Basketball,2011,53,Yes
LeBron James,United States,3,7,Basketball,2011,48,Yes
Roger Federer,Switzerland,4,6,Tennis,2011,47,No
Phil Mickelson,United States,5,4,Golf,2011,46.5,No
David Beckham,United Kingdom,6,5,Soccer,2011,40,Yes
Cristiano Ronaldo,Portugal,7,13,Soccer,2011,38,Yes
Alex Rodriguez,Dominican Republic,8,12,Baseball,2011,35,Yes
Michael Schumacher,Germany,9,>20,F1 Racing,2011,34,Yes
Lionel Messi,Argentina,10,>20,Soccer,2011,32.3,Yes
Floyd Mayweather,United States,1,?,Boxing,2012,85,No
Manny Pacquiao,Philippines,2,24,Boxing,2012,62,No
Tiger Woods,United States,3,1,Golf,2012,59.4,No
LeBron James,United States,4,3,Basketball,2012,53,Yes
Roger Federer,Switzerland,5,4,Tennis,2012,52.7,No
Kobe Bryant,United States,6,2,Basketball,2012,52.3,Yes
Phil Mickelson,United States,7,5,Golf,2012,47.8,No
David Beckham,United Kingdom,8,6,Soccer,2012,46,Yes
Cristiano Ronaldo,Portugal,9,21,Soccer,2012,42.5,Yes
Peyton Manning,United States,10,7,American Football,2012,42.4,Yes
Tiger Woods,United States,1,3,Golf,2013,78.1,No
Roger Federer,Switzerland,2,5,Tennis,2013,71.5,No
Kobe Bryant,United States,3,6,Basketball,2013,61.9,Yes
LeBron James,United States,4,4,Basketball,2013,59.8,Yes
Drew Brees,United States,5,?,American Football,2013,51,Yes
Aaron Rodgers,United States,6,?,American Football,2013,49,Yes
Phil Mickelson,United States,7,7,Golf,2013,48.7,No
David Beckham,United Kingdom,8,8,Soccer,2013,47.2,Yes
Cristiano Ronaldo,Portugal,9,9,Soccer,2013,44,Yes
Lionel Messi,Argentina,10,11,Soccer,2013,41.3,Yes
Floyd Mayweather,United States,1,14,Boxing,2014,105,No
Cristiano Ronaldo,Portugal,2,9,Soccer,2014,80,Yes
LeBron James,United States,3,4,Basketball,2014,72.3,Yes
Lionel Messi,Argentina,4,10,Soccer,2014,64.7,Yes
Kobe Bryant,United States,5,3,Basketball,2014,61.5,Yes
Tiger Woods,United States,6,1,Golf,2014,61.2,No
Roger Federer,Switzerland,7,2,Tennis,2014,56.2,No
Phil Mickelson,United States,8,7,Golf,2014,53.2,No
Rafael Nadal,Spain,9,>14,Tennis,2014,44.5,No
Matt Ryan,United States,10,>100,American Football,2014,43.8,Yes
Floyd Mayweather,United States,1,1,Boxing,2015,300,No
Manny Pacquiao,Philippines,2,11,Boxing,2015,160,No
Cristiano Ronaldo,Portugal,3,2,Soccer,2015,79.6,Yes
Lionel Messi,Argentina,4,4,Soccer,2015,73.8,Yes
Roger Federer,Switzerland,5,7,Tennis,2015,67,No
LeBron James,United States,6,3,Basketball,2015,64.8,Yes
Kevin Durant,United States,7,20,Basketball,2015,54.2,Yes
Phil Mickelson,United States,8,8,Golf,2015,50.8,No
Tiger Woods,United States,9,6,Golf,2015,50.6,No
Kobe Bryant,United States,10,5,Basketball,2015,49.5,Yes
Cristiano Ronaldo,Portugal,1,3,Soccer,2016,88,Yes
Lionel Messi,Argentina,2,4,Soccer,2016,81.4,Yes
LeBron James,United States,3,6,Basketball,2016,77.2,Yes
Roger Federer,Switzerland,4,5,Tennis,2016,67.8,No
Kevin Durant,United States,5,7,Basketball,2016,56.2,Yes
Novak Djokovic,Serbia,6,13,Tennis,2016,55.8,No
Cam Newton,United States,7,>20,American Football,2016,53.1,Yes
Phil Mickelson,United States,8,8,Golf,2016,52.9,No
Jordan Spieth,United States,9,>20,Golf,2016,52.8,No
Kobe Bryant,United States,10,10,Basketball,2016,50,Yes
Cristiano Ronaldo,Portugal,1,1,Soccer,2017,93,Yes
LeBron James,United States,2,3,Basketball,2017,86.2,Yes
Lionel Messi,Argentina,3,2,Soccer,2017,80,Yes
Roger Federer,Switzerland,4,4,Tennis,2017,64,No
Kevin Durant,United States,5,5,Basketball,2017,60.6,Yes
Andrew Luck,United States,6,,American Football,2017,50,Yes
Rory McIlroy,Ireland,6,17,Golf,2017,50,No
Stephen Curry,United States,8,,Basketball,2017,47.3,Yes
James Harden,United States,9,,Basketball,2017,46.6,Yes
Lewis Hamilton,United Kingdom,10,,NASCAR,2017,46,Yes
Floyd Mayweather,United States,1,>100,Boxing,2018,285,No
Lionel Messi,Argentina,2,3,Soccer,2018,111,Yes
Cristiano Ronaldo,Portugal,3,1,Soccer,2018,108,Yes
Conor McGregor,Ireland,4,24,MMA,2018,99,No
Neymar,Brazil,5,18,Soccer,2018,90,Yes
LeBron James,United States,6,2,Basketball,2018,85.5,Yes
Roger Federer,Switzerland,7,4,Tennis,2018,77.2,No
Stephen Curry,United States,8,8,Basketball,2018,76.9,Yes
Matt Ryan,United States,9,>100,American Football,2018,67.3,Yes
Matthew Stafford,United States,10,>100,American Football,2018,59.5,Yes
Lionel Messi,Argentina,1,2,Soccer,2019,127,Yes
Cristiano Ronaldo,Portugal,2,3,Soccer,2019,109,Yes
Neymar,Brazil,3,5,Soccer,2019,105,Yes
Canelo Alvarez,Mexico,4,15,Boxing,2019,94,No
Roger Federer,Switzerland,5,7,Tennis,2019,93.4,No
Russell Wilson,United States,6,??,American Football,2019,89.5,Yes
Aaron Rogers,United States,7,??,American Football,2019,89.3,Yes
LeBron James,United States,8,6,Basketball,2019,89,Yes
Stephen Curry,United States,9,8,Basketball,2019,79.8,Yes
Kevin Durant,United States,10,11,Basketball,2019,65.4,Yes
Roger Federer,Switzerland,1,5,Tennis,2020,106.3,No
Cristiano Ronaldo,Portugal,2,2,Soccer,2020,105,Yes
Lionel Messi,Argentina,3,1,Soccer,2020,104,Yes
Neymar,Brazil,4,3,Soccer,2020,95.5,Yes
LeBron James,United States,5,8,Basketball,2020,88.2,Yes
Stephen Curry,United States,6,9,Basketball,2020,74.4,Yes
Kevin Durant,United States,7,10,Basketball,2020,63.9,Yes
Tiger Woods,United States,8,11,Golf,2020,62.3,No
Kirk Cousins,United States,9,>100,American Football,2020,60.5,Yes
Carson Wentz,United States,10,>100,American Football,2020,59.1,Yes
